Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,sum,week,time,unscathed,killed,hospital,light
201600000328,16,4,12,1630,1,1,1,1,5017968,158727,3,2,2,0,1,1,0,65,1,0,1,99,141,2,16.0,2650,227,1426,1968
201600000331,16,10,29,915,1,1,8,1,5017220,165806,5,2,1,2,1,2,0,25,1,2,5,99,173,6,9.0,980,118,756,615
201600000340,16,5,11,1200,1,1,1,3,5000603,266139,4,2,0,0,1,1,0,0,1,0,1,99,156,3,12.0,1772,175,1105,1332
201600000341,16,5,24,1415,1,1,1,6,5000430,265699,4,3,2,0,1,1,0,0,1,0,1,99,160,2,14.0,2313,188,1317,1755
201600000342,16,5,25,2300,5,6,1,3,4999323,265726,4,0,0,0,0,0,0,0,0,0,0,0,146,3,23.0,585,56,348,511
201600000346,16,12,31,2030,3,1,5,6,4999964,259458,3,2,2,0,1,0,0,0,7,0,3,99,71,6,20.0,1385,167,1078,1016
201600000362,16,2,15,1245,1,1,1,1,4951246,343000,4,2,2,0,3,3,33,0,1,0,1,99,122,1,12.0,1829,165,996,1428
201600000403,16,11,19,600,3,1,1,6,4941023,313601,3,2,2,0,1,1,0,120,1,0,4,99,180,6,6.0,528,87,501,341
201600000404,16,2,22,915,1,4,1,2,4940835,351107,3,2,2,0,1,1,0,0,1,0,1,99,116,1,9.0,1240,101,695,945
201600000429,16,8,4,1630,1,1,1,6,4993046,407422,3,2,2,0,2,1,90,0,1,0,1,99,134,4,16.0,2518,279,1543,1938
201600000443,16,8,18,2315,3,1,1,2,4942431,214392,2,3,4,0,0,1,0,0,1,0,2,99,118,4,23.0,702,59,440,586
201600000470,16,9,1,900,1,1,1,1,4934248,238396,3,2,2,0,1,2,0,40,1,0,1,99,142,4,9.0,1976,196,1146,1502
201600000473,16,9,4,15,5,1,1,6,4957704,230488,3,2,2,0,2,1,0,57,1,0,4,99,152,7,0.0,720,91,572,481
201600000476,16,6,21,845,1,1,3,2,4932562,244199,3,2,2,0,1,1,0,62,2,0,1,99,133,2,8.0,1927,168,1177,1465
201600000478,16,1,27,1015,1,9,8,3,4931443,233453,3,2,2,0,1,1,0,60,2,5,1,99,140,3,10.0,1153,92,685,891
201600000507,16,1,9,1715,2,1,1,7,4947492,279120,3,2,2,0,1,2,0,70,1,0,1,99,163,6,17.0,2817,352,2047,2131
201600000515,16,9,25,145,3,1,1,3,4946427,276059,3,2,2,0,1,1,0,0,1,0,1,99,139,7,1.0,1259,210,1146,1096
201600000537,16,2,12,1030,1,1,2,3,4918469,264103,2,2,2,0,3,1,0,70,1,0,1,0,171,5,10.0,981,105,628,762
201600000538,16,2,21,1000,1,1,1,1,4924336,258496,3,2,0,0,1,3,0,52,1,0,1,99,103,7,10.0,1031,172,935,891
201600000566,16,3,15,530,3,1,1,7,4916516,286011,2,3,0,0,0,1,0,0,1,0,3,99,143,2,5.0,441,56,286,345
201600000567,16,3,29,1945,1,9,8,2,4913554,279868,2,3,0,0,1,0,0,0,2,0,3,99,152,2,19.0,2629,241,1690,2078
201600000568,16,4,5,2315,3,2,1,3,4909143,275120,2,2,2,0,1,1,0,72,1,0,1,99,108,2,23.0,601,48,341,521
201600000572,16,8,16,315,3,1,1,6,4907832,272552,2,3,2,3,1,1,0,100,1,0,2,99,108,2,3.0,264,35,154,190
201600000579,16,4,27,2230,3,1,1,6,4944659,97417,3,2,2,0,2,4,0,0,1,0,1,99,137,3,22.0,324,23,205,265
201600000581,16,8,25,1400,1,3,1,2,4948459,92369,3,2,2,0,2,1,0,0,1,0,0,0,156,4,14.0,1646,151,1074,1183
201600000596,16,9,28,1115,1,4,1,1,4986935,104957,3,0,2,0,1,2,0,59,1,0,1,0,167,3,11.0,1684,139,951,1231
201600000647,16,4,20,2145,3,2,1,3,4978017,146597,4,2,2,0,1,1,0,40,1,0,1,99,132,3,21.0,1045,107,622,801
201600000649,16,10,15,15,3,1,1,6,4967773,140020,3,2,2,0,2,2,0,50,1,0,3,99,179,6,0.0,1106,132,981,800
201600000651,16,1,1,2130,3,1,1,6,4977617,176930,3,2,2,0,2,1,0,44,2,0,1,99,126,5,21.0,1312,142,826,996
201600000666,16,10,28,1450,1,1,1,5,4960517,76204,3,2,3,0,2,1,0,0,1,0,1,99,175,5,14.0,1742,203,1125,1256
201600000669,16,1,3,1100,1,1,2,6,4959466,97530,3,2,2,0,2,3,0,50,2,0,1,0,104,7,11.0,1351,179,1196,1056
201600000704,16,7,13,1830,1,3,1,3,4899177,118533,4,2,2,0,1,1,0,0,1,0,1,0,164,3,18.0,4006,350,2338,3001
201600000710,16,12,22,2245,3,1,5,6,4887239,125690,3,2,2,0,1,2,0,6,2,0,3,0,188,4,22.0,829,93,548,652
201600000716,16,4,24,730,1,2,1,3,4901195,131348,2,2,2,0,0,1,0,0,1,5,1,0,118,7,7.0,860,124,746,738
201600000757,16,7,7,1300,1,1,1,3,4938659,130665,3,2,2,0,1,1,0,81,1,0,1,99,176,4,13.0,1482,132,928,1147
201600000765,16,11,11,700,5,1,1,6,4939870,137033,3,2,0,0,1,2,0,57,2,0,3,99,150,5,7.0,2621,221,1534,1913
201600000766,16,11,23,430,3,1,2,3,4932658,129180,3,2,0,0,3,2,0,67,2,0,1,99,194,3,4.0,363,42,241,277
201600000768,16,12,16,2045,3,1,5,1,4943416,136312,4,1,0,0,1,1,0,45,2,0,1,99,201,5,20.0,1785,197,1138,1343
201600000787,16,8,13,1100,1,1,1,3,4921880,121576,3,2,2,0,1,1,0,7,1,0,1,0,151,6,11.0,1926,217,1507,1472
201600000807,16,7,27,730,1,1,1,7,4925158,110357,3,2,2,0,1,0,0,7,9,0,1,0,146,3,7.0,1930,186,1168,1488
201600000810,16,11,9,145,3,1,2,6,4924230,104924,3,2,0,0,1,1,0,0,2,0,1,0,163,3,1.0,713,68,358,622
201600000839,16,6,12,200,3,1,2,6,4932424,74989,3,2,2,0,0,3,0,55,2,0,1,0,214,7,2.0,778,122,676,660
