Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,sum,unscathed,killed,hospital,light,week,time
201400000274,14,9,16,2015,2,1,1,6,5063509,234991,3,2,0,0,1,1,0,61,1,0,3,99,84,59,6,32,46,2,20.0
201400000275,14,8,22,1600,1,1,1,3,5070315,235448,4,2,2,0,0,1,70,0,1,0,1,0,81,54,4,38,39,5,16.0
201400000277,14,11,6,245,3,1,1,6,5083317,202828,3,2,2,0,0,2,80,85,2,0,3,99,97,60,3,30,64,4,2.0
201400000278,14,11,22,1815,5,1,1,6,5081862,207800,3,2,0,0,1,1,0,124,1,0,1,0,56,34,8,25,23,6,18.0
201400000279,14,11,27,415,5,1,1,1,5081938,207652,3,2,2,0,1,1,0,58,2,0,1,0,87,65,7,31,49,4,4.0
201400000280,14,3,16,2045,3,1,1,6,5058524,226445,4,2,2,0,0,1,0,0,1,0,1,0,105,59,13,40,52,7,20.0
201400000281,14,9,7,1215,1,1,1,6,5063838,215384,3,2,2,0,2,1,0,72,1,0,1,0,106,64,9,42,55,7,12.0
201400000283,14,12,23,1915,3,1,8,5,5055942,209758,3,0,0,0,1,1,0,99,1,0,1,0,69,39,4,25,40,2,19.0
201400000284,14,7,29,1715,1,1,1,3,5072274,219557,3,0,0,0,3,0,0,0,1,0,1,0,73,45,6,23,44,2,17.0
201400000287,14,10,2,2015,2,1,1,3,5073494,212615,3,2,0,0,1,1,0,55,1,0,1,0,83,56,6,39,38,4,20.0
201400000288,14,11,1,2130,3,1,1,6,5064735,214469,3,2,0,0,2,1,0,60,1,0,3,99,116,61,14,48,54,6,21.0
201400000289,14,8,5,1700,1,1,1,3,5040580,236491,3,2,2,0,0,2,0,130,1,5,1,0,74,50,5,29,40,2,17.0
201400000291,14,9,21,1330,1,1,1,3,5032852,231011,3,2,2,0,0,1,0,60,1,0,1,0,93,42,7,36,50,7,13.0
201400000292,14,10,26,1645,2,1,1,6,5049366,242431,3,2,2,0,1,2,0,50,1,0,3,99,95,58,11,39,45,7,16.0
201400000293,14,11,14,1845,3,1,1,6,5039794,221510,3,2,0,0,0,1,0,0,1,0,3,0,105,59,18,43,44,5,18.0
201400000295,14,1,9,845,1,1,1,6,5027485,253647,3,2,2,0,2,1,65,0,2,0,0,0,74,50,5,33,36,4,8.0
201400000296,14,2,23,545,3,1,1,6,5029230,254066,3,2,0,0,0,2,0,65,1,0,3,99,63,26,6,25,32,7,5.0
201400000297,14,3,13,1915,3,1,5,3,5038774,245905,3,2,0,0,1,1,0,0,1,0,1,0,70,54,5,19,46,4,19.0
201400000298,14,3,19,1700,1,1,1,1,5038795,245864,3,0,0,0,0,1,0,70,1,0,1,0,72,43,2,29,41,3,17.0
