Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,lat,long,dep,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,killed
200600072624,6,11,29,1330,1,1,1,1,1,333,4376100,426900,300,4,2,0,0,0,0,0,0,0,0,0,0,0
200600072625,6,11,29,1545,1,2,1,1,2,83,4373200,422200,300,3,0,2,0,0,0,0,0,0,0,0,0,0
200600072626,6,11,24,1615,1,1,1,1,1,320,4413000,430700,300,3,2,2,0,0,1,0,70,1,0,1,0,0
200600072628,6,11,11,215,3,1,1,1,7,89,4385500,460000,300,3,2,2,0,0,2,0,70,1,0,3,0,0
200600072629,6,11,18,745,2,1,1,5,6,317,4393200,456200,300,3,2,2,0,1,2,0,63,2,0,1,0,1
200600072630,6,11,23,1015,1,2,1,1,6,212,4394300,457000,300,2,2,0,0,1,1,0,60,1,0,1,0,0
200600072636,6,11,2,1415,1,1,1,1,6,16,4449100,342600,480,3,2,2,0,1,3,0,0,1,0,3,0,0
200600072645,6,11,3,1845,5,2,1,1,6,24,4252800,283000,660,3,2,2,0,1,1,0,60,1,0,4,0,0
200600072646,6,11,19,300,5,2,1,1,6,106,4249800,281300,660,3,2,0,0,1,1,0,67,1,0,1,0,0
200600072659,6,11,1,1115,1,1,1,1,6,284,4173000,882900,201,3,2,0,0,0,0,47,0,0,2,1,0,1
200600072663,6,11,2,1200,1,2,1,1,1,134,4263700,894200,202,4,1,1,0,0,1,0,0,1,0,1,0,0
200600072664,6,11,12,1530,1,1,1,1,1,126,4218200,938800,202,2,2,2,0,2,2,0,69,1,0,1,0,1
200600072665,6,11,14,1230,1,1,1,1,1,96,4235700,914300,202,3,2,2,0,2,2,0,66,1,0,1,0,0
200600072666,6,11,21,1530,1,1,1,3,7,354,4213900,914600,202,2,2,2,0,2,3,0,66,2,0,1,0,0
200600072668,6,11,19,945,1,1,1,1,1,16,4216000,939900,202,4,2,0,0,1,1,0,40,1,0,1,0,0
200600072669,6,11,7,1715,2,1,1,1,6,318,4243700,952500,202,3,2,2,0,1,1,0,69,1,0,1,0,0
200600072680,6,11,2,1030,1,1,1,1,3,234,4893800,162700,780,3,2,2,0,1,1,0,65,1,0,1,0,0
200600072683,6,11,24,1715,2,1,1,2,1,470,4858300,175900,780,3,2,2,0,1,1,0,70,2,0,1,0,1
200600072684,6,11,25,1515,1,2,1,8,5,575,4871900,210800,780,4,2,0,0,1,1,0,49,2,0,1,0,0
200600072685,6,11,5,1710,1,2,1,1,7,420,4878800,176900,780,3,2,2,0,0,1,0,52,1,0,1,0,0
200600072686,6,11,24,1615,1,1,1,2,4,321,4877600,189800,780,3,2,2,0,1,3,0,62,8,0,1,0,1
200600072689,6,11,1,2045,3,1,1,1,6,69,4833300,237900,910,3,2,2,0,1,0,0,48,1,0,3,0,0
200600072691,6,11,26,30,3,1,1,2,7,130,4843200,207700,910,3,2,1,0,1,4,0,0,2,0,3,0,0
200600072692,6,11,29,1030,1,1,6,1,7,35,4845400,195600,910,2,2,0,0,1,0,0,47,1,0,3,0,0
200600072693,6,11,30,745,2,2,1,8,1,200,4852500,201500,910,4,2,0,0,2,1,0,75,2,0,1,0,0
200600072694,6,11,1,1600,1,2,1,1,6,38,4849700,222000,910,3,2,1,0,1,2,0,0,1,0,1,0,0
200600072695,6,11,1,1400,1,2,1,8,3,47,4849300,235500,910,2,1,0,0,1,0,0,0,1,5,0,0,0
200600072696,6,11,3,715,1,2,1,8,3,315,4852500,235100,910,3,2,2,0,1,1,0,52,1,0,1,0,0
200600072697,6,11,8,1630,1,1,1,1,2,129,4848600,232800,910,2,2,0,0,2,1,0,0,1,0,0,0,0
200600072699,6,11,21,515,3,1,1,2,6,511,4835000,198000,910,3,2,2,0,1,1,0,60,2,0,1,0,1
200600072704,6,11,2,1715,1,1,1,1,1,675,4907000,252600,950,3,2,2,0,1,1,0,70,1,0,1,0,0
200600072705,6,11,12,1830,3,1,1,8,2,675,4906500,252300,950,3,2,3,0,1,1,0,90,0,0,1,0,0
200600072707,6,11,18,1245,1,1,1,1,7,354,4848400,287100,770,3,2,2,0,1,2,0,56,1,0,3,0,1
200600072708,6,11,29,1900,3,1,9,1,7,103,4854100,281900,770,3,3,0,0,1,1,0,44,0,0,0,0,0
200600072709,6,11,9,1800,3,1,1,1,3,381,4862500,297500,770,3,2,2,0,1,1,0,65,1,5,1,0,0
200600072712,6,11,14,1515,1,1,1,1,1,402,4881900,336600,770,4,0,0,0,1,2,0,38,2,0,1,0,0
200600072713,6,11,16,1430,1,1,1,6,6,116,4876500,323100,770,3,2,2,0,0,1,60,0,1,0,1,0,0
200600072715,6,11,6,1845,3,2,2,2,1,238,4894100,312300,770,3,2,2,0,1,3,0,60,2,0,1,0,0
200600072716,6,11,11,800,1,2,1,1,6,183,4895200,312200,770,4,1,1,0,1,2,0,0,1,0,0,0,0
200600072717,6,11,13,1300,3,1,1,2,4,290,4897100,320500,770,3,2,2,0,0,1,0,70,2,0,1,0,0
200600072718,6,11,20,1545,1,2,9,3,1,78,4897200,314900,770,3,2,2,0,1,4,0,60,2,0,1,0,0
